"empty_slots","extra__number","extra__reviews","extra__score","extra__status","extra__uid","free_bikes","id","latitude","longitude","name","timestamp"
"13","76","785","4.0","online","326","2","808f2aa41bc2dc947db6bfe6585fc133","45.054267","7.678409","Belfiore","2022-04-06T10:55:14.843000Z"
"15","6","217","3.5","online","255","0","2bf7fcbcdd03427d49d057a3f4d4b378","45.075438","7.673785","Valdocco 2","2022-04-06T10:55:14.842000Z"
"5","8","362","3.5","online","257","9","62e1229a487243fb01fa03af26e69b01","45.078044","7.675665","Valdocco","2022-04-06T10:55:14.842000Z"
"0","23","1290","4.4","maintenance","271","0","74d171b578136bcb9a95bc25ebe654ee","45.0691","7.701921","Bava","2022-04-06T10:55:14.842000Z"
"8","50","858","4.5","online","299","10","75f7e1a9926635ef44f5e6a80bfdc09f","45.074594","7.690499","Regina Margherita 4","2022-04-06T10:55:14.842000Z"
"10","102","633","4.0","online","352","3","abb21913f56f0169dcd6c8102d6b2337","45.06714","7.708391","Borromini","2022-04-06T10:55:14.843000Z"
"12","56","142","3.9","online","305","1","f416d5b5054eeb6ba66b5d3cfa1a6576","45.067696","7.691789","Universita`3","2022-04-06T10:55:14.842000Z"
"4","85","310","4.0","online","335","11","e83007cd520a046bfa032cfe75d5889b","45.060759","7.661325","Politecnico 3","2022-04-06T10:55:14.843000Z"
"17","87","364","4.1","online","337","7","8d905cb233d02886d288c0185f870832","45.07084597193492","7.6612794399261475","Tribunale","2022-04-06T10:55:14.843000Z"
"0","108","264","4.1","maintenance","358","0","fa9a021c19bb407a271ea6a9bb34bd39","45.062387","7.662494","Politecnico 1","2022-04-06T10:55:14.843000Z"
"13","88","1906","4.0","online","338","2","7aacdceecb6143183185e9d182821fe3","45.073304","7.662401","Principi d`Acaja 1","2022-04-06T10:55:14.843000Z"
"11","89","654","4.1","online","339","4","d21b21a3780ccd3198e2b72afb3b0a82","45.075859","7.664055","Principi d`Acaja 2","2022-04-06T10:55:14.843000Z"
